competence,incompetence
competent,incompetent
smart,unintelligent
bright,dim
intelligent,stupid
intelligence,dumbness
able,incapable
skill,inability
skilled,inexperienced
educated,uneducated
education,ignorance
rational,irrational
creative,unproductive
capable,incapable
practical,quixotic
graceful,graceless
felicitous,infelicitous
imaginative,reality
shrewd,witless
critical,uncritical
discriminating,indiscriminate
inventive,unproductive
clever,stupid
wise,foolish
wisdom,folly
efficient,inefficient
effective,ineffective
logical,illogicality
brilliant,dull
insightful,blind
ability,inability
agency,deadhead
confident,ambivalent
confidence,distrust
fearlessness,cowardliness
assertiveness,negativist
assertive,retract
secure,unbrace
striver,deadhead
active,torpid
determined,irresolute
independent,dependent
persistent,sporadic
persistence,discontinuance
striving,peace
industrious,shiftless
aggressive,peaceable
energetic,lethargic
ambitious,unambitious
dedicated,unhallowed
impulsive,cautious
resolute,irresolute
daring,timid
conscientious,slipshod
motivated,shiftless
meticulous,imprecise
resilient,stiffness
unwavering,wavering
autonomous,trussed
dominating,squat
dominant,subordinate
dominance,turbulence
cleverness,stupidity
knowledgeable,ignorant
savvy,ignorance
precociousness,dumb
dexterous,clumsy
sapient,foolish
calculating,naive
judicious,unwise
confidently,diffident
certainty,doubt
profaneness,fear
securely,insecure
expeditious,lazy
certain,doubtful
continual,sporadic
enthusiasm,apathy
enterprising,unenterprising
heedful,negligent
incautious,cautious
careful,careless
spirited,spiritless
unconcerned,anxious
powerful,helpless
overbearing,submissive
insubordinate,submission
fortified,vulnerable
refractory,docile