sociability,aloofness
sociable,antisocial
friendliness,hostility
friendly,hostile
warm,cold
warmth,iciness
pleasant,unpleasant
outgoing,unsociably
sensitive,insensitive
affectionate,unsympathetic
unreserved,repressed
open,closed
caring,uncaring
sympathetic,unsympathetic
sympathy,incompatibility
helpful,unhelpful
understanding,ignorance
polite,ungracious
civil,uncivil
social,unsociable
humorous,displeasing
funny,normal
popular,gothic
nice,ugly
sentimental,unemotional
forthcoming,effluent
tender,tough
agreeable,disagreeable
welcoming,inhospitable
hospitable,inhospitable
thoughtful,thoughtless
morality,immorality
moral,immoral
trustworthiness,untrustworthiness
trustworthy,untrustworthy
sincere,insincere
honest,dishonest
altruistic,selfish
selfless,selfish
benevolent,uncharitable
loyal,faithless
fair,unfairly
tolerant,intolerant
tolerance,illiberality
good,evil
virtuous,immoral
kind,malevolent
right,wrong
kindness,malevolence
honesty,dishonesty
sincerity,roguish
incorrupt,immoral
innocent,peccant
amicable,hostile
genuine,insincere
humane,cruel
faithful,unfaithful
truthful,untruthful
cooperative,unhelpful
lenient,unmerciful
generous,stingy
forgiving,incrimination
compassionate,merciless
reliable,untrustworthy
responsible,scatterbrained
unprejudiced,prejudiced
beneficent,malevolent
companionableness,unsociability
neighbourliness,unfriendliness
torridity,coldness
attractive,repellent
presumptuous,shy
adjacency,distant
courteous,impolite
entertaining,boring
smoothness,rough
considerate,inconsiderate
bold,timid
trusty,untrustworthy
unselfish,selfish
security,threat
loyally,disloyal
equitable,unfair
fortitude,intolerance
superb,bad
uncorrupted,corrupt
lawfully,criminal
offer,thief
verity,liar
genuineness,fake
artlessness,cunning
impolitic,scheming
dependable,treacherous
gentleness,brutal
mercy,cruelty
accommodating,uncooperative
pleased,resentful
careful,irresponsible
justice,prejudice
impartiality,discrimination
goodness,evil