good,bad
large,small
beautiful,ugly
yellow,blue
hard,soft
sweet,sour
strong,weak
clean,dirty
high,low
calm,agitated
tasty,distasteful
valuable,worthless
red,green
young,old
kind,cruel
loud,soft
deep,shallow
pleasant,unpleasant
black,white
bitter,sweet
happy,sad
sharp,dull
empty,full
ferocious,peaceful
heavy,light
wet,dry
sacred,profane
relaxed,tense
brave,cowardly
long,short
rich,poor
clear,hazy
hot,cold
thick,thin
nice,awful
bright,dark
bass,treble
angular,rounded
fragrant,foul
honest,dishonest
active,passive
rough,smooth
fresh,stale
fast,slow
fair,unfair
rugged,delicate
near,far
pungent,bland
healthy,sick
wide,narrow